is_wordforms_sentence_1559_0001.txt	en_wordforms_sentence_1559_0012.txt	Sígild aflfræði (stundum kölluð klassísk aflfræði) er eðlisfræði, sem fæst við krafta sem verka á hluti.	However, a number of modern sources do include relativistic mechanics in classical physics, which in their view represents classical mechanics in its most developed and accurate form.	
is_wordforms_sentence_1559_0001.txt	en_wordforms_sentence_1559_0180.txt	Sígild aflfræði (stundum kölluð klassísk aflfræði) er eðlisfræði, sem fæst við krafta sem verka á hluti.	After Newton, classical mechanics became a principal field of study in mathematics as well as physics.	
is_wordforms_sentence_1559_0001.txt	en_wordforms_sentence_1559_0192.txt	Sígild aflfræði (stundum kölluð klassísk aflfræði) er eðlisfræði, sem fæst við krafta sem verka á hluti.	Since the end of the 20th century, classical mechanics in physics has no longer been an independent theory.	
is_wordforms_sentence_1559_0001.txt	en_wordforms_sentence_1559_0047.txt	Sígild aflfræði (stundum kölluð klassísk aflfræði) er eðlisfræði, sem fæst við krafta sem verka á hluti.	Occasionally, a decrease in the magnitude of velocity "v" is referred to as "deceleration", but generally any change in the velocity over time, including deceleration, is simply referred to as acceleration.	
is_wordforms_sentence_1559_0001.txt	en_wordforms_sentence_1559_0070.txt	Sígild aflfræði (stundum kölluð klassísk aflfræði) er eðlisfræði, sem fæst við krafta sem verka á hluti.	A force in physics is any action which causes an object's velocity to change; that is, to accelerate.	
is_wordforms_sentence_1559_0002.txt	en_wordforms_sentence_1559_0180.txt	Oft er talað um hana sem „Aflfræði Newtons“ eftir lögmálum, sem við hann eru kennd, um hreyfingu „sígildra“ hluta.	After Newton, classical mechanics became a principal field of study in mathematics as well as physics.	
is_wordforms_sentence_1559_0002.txt	en_wordforms_sentence_1559_0174.txt	Oft er talað um hana sem „Aflfræði Newtons“ eftir lögmálum, sem við hann eru kennd, um hreyfingu „sígildra“ hluta.	In particular, he obtained a theoretical explanation of Kepler's laws of motion of the planets.	
is_wordforms_sentence_1559_0002.txt	en_wordforms_sentence_1559_0173.txt	Oft er talað um hana sem „Aflfræði Newtons“ eftir lögmálum, sem við hann eru kennd, um hreyfingu „sígildra“ hluta.	He demonstrated that these laws apply to everyday objects as well as to celestial objects.	
is_wordforms_sentence_1559_0002.txt	en_wordforms_sentence_1559_0179.txt	Oft er talað um hana sem „Aflfræði Newtons“ eftir lögmálum, sem við hann eru kennd, um hreyfingu „sígildra“ hluta.	Even when discovering the so-called Newton's rings (a wave interference phenomenon) he maintained his own corpuscular theory of light.	
is_wordforms_sentence_1559_0003.txt	en_wordforms_sentence_1559_0046.txt	Sígild aflfræði er skipt niður í tvo hluta, stöðufræði (sem fjallar um hluti í kyrrstöðu) og hreyfifræði (sem fjallar um hluti á hreyfingu).	Velocity can change in either magnitude or direction, or both.	
